iter	Passed	Remaining
906	1502	154
907	1503	152
908	1505	150
909	1506	148
910	1507	147
911	1508	145
912	1510	143
913	1511	142
914	1513	140
915	1514	138
916	1515	137
917	1516	135
918	1518	133
919	1519	132
920	1521	130
921	1522	128
922	1523	127
923	1525	125
924	1526	123
925	1527	122
926	1528	120
927	1529	118
928	1530	116
929	1531	115
930	1533	113
931	1534	111
932	1535	110
933	1536	108
934	1537	106
935	1538	105
936	1539	103
937	1540	101
938	1541	100
939	1542	98
940	1543	96
941	1544	95
942	1545	93
943	1547	91
944	1548	90
945	1549	88
946	1550	86
947	1551	85
948	1553	83
949	1554	81
950	1555	80
951	1556	78
952	1557	76
953	1559	75
954	1560	73
955	1561	71
956	1563	70
957	1564	68
958	1565	66
959	1566	65
960	1567	63
961	1569	61
962	1570	60
963	1571	58
964	1572	57
965	1574	55
966	1575	53
967	1576	52
968	1577	50
969	1579	48
970	1580	47
971	1581	45
972	1582	43
973	1583	42
974	1585	40
975	1586	39
976	1587	37
977	1588	35
978	1590	34
979	1591	32
980	1593	30
981	1594	29
982	1595	27
983	1597	25
984	1599	24
985	1600	22
986	1602	21
987	1603	19
988	1605	17
989	1606	16
990	1608	14
991	1609	12
992	1610	11
993	1612	9
994	1613	8
995	1615	6
996	1616	4
997	1618	3
998	1619	1
999	1621	0
